Educational Level,Employment-to-population ratio
No schooling,9.744583340681528
Early childhood education,17.23539615233133
Primary,22.647362247241638
Intermediate education (general or vocational),19.524823889270728
Secondary education (general or vocational),41.050622004899786
Diploma,73.6915448821981
Post-secondary non-tertiary education,72.08783108490351
Short-cycle tertiary education,72.76738198034174
Graduate or Equivalent,63.76440308992476
Higher Diploma - Master's degree,79.87944096873865
Master's degree or equivalent,84.12921835849173
Ph.D,87.40498309398194
Grand Total,41.30770765410984
